assists,value_form,team,goals_scored,team_name,red_cards,event_total,form,total_points,second_name,event_points,ea_index,type_name,cost_change_start_fall,first_name,transfers_in,minutes,transfers_out,cost_change_start,transfers_out_event,selected_by_percent,selected_by,bps,ep_next,value_season,dreamteam_count,web_name,now_cost,penalties_saved,cost_change_event_fall,ep_this,team_id,event_explain,goals_conceded,id,cost_change_event,clean_sheets,transfers_in_event,yellow_cards,penalties_missed,code,element_type,team_code,saves,own_goals,bonus,status,points_per_game
0,0.2,1,0,Arsenal,0,1,1.3,4,Szczesny,1,25,Goalkeeper,0,Wojciech,16463,270,65478,0,20718,10.8,10.8,31,1.3,0.7,0,Szczesny,55,0,0,1.3,1,"[['Yellow cards', 1, -1], ['Minutes played', 90, 2]]",4,1,0,0,1980,1,0,59936,1,3,3,0,0,a,1.3
0,0.6,1,1,Arsenal,0,1,3.7,11,Koscielny,1,40,Defender,-1,Laurent,116062,115,87375,1,45454,12.5,12.5,36,2.8,1.8,1,Koscielny,61,0,0,3.7,1,"[['Minutes played', 25, 1]]",2,2,0,0,3911,0,0,51507,2,3,0,0,2,d,5.5
0,0.0,1,0,Arsenal,0,0,0.0,0,Vermaelen,0,0,Defender,0,Thomas,20,0,5008,0,490,0.2,0.2,0,0.0,0.0,0,Vermaelen,50,0,0,0.0,1,"[['Minutes played', 0, 0]]",0,3,0,0,1,0,0,15943,2,3,0,0,0,u,0.0
0,0.1,1,0,Arsenal,0,0,0.3,1,Gibbs,0,8,Defender,2,Kieran,853,52,71386,-2,5739,1.5,1.5,10,0.3,0.2,0,Gibbs,53,0,1,0.0,1,"[['Minutes played', 0, 0]]",1,4,-1,0,143,0,0,42427,2,3,0,0,0,d,1.0
0,0.0,20,0,West Ham,0,0,0.0,0,Jenkinson,0,0,Defender,0,Carl,112,0,1715,0,433,0.1,0.1,0,0.0,0.0,0,Jenkinson,50,0,0,0.0,20,"[['Minutes played', 0, 0]]",0,5,0,0,22,0,0,80254,2,21,0,0,0,i,0.0
0,0.1,1,0,Arsenal,0,2,0.7,2,Mertesacker,2,16,Defender,0,Per,8129,180,37165,0,5552,3.8,3.8,34,0.7,0.3,0,Mertesacker,60,0,0,0.7,1,"[['Minutes played', 90, 2]]",3,6,0,0,2122,1,0,17127,2,3,0,0,0,a,1.0
1,0.6,1,0,Arsenal,0,2,3.0,9,Monreal,2,33,Defender,0,Nacho,15903,218,5499,0,1889,0.9,0.9,54,3.0,1.8,0,Monreal,50,0,0,3.0,1,"[['Minutes played', 90, 2]]",3,7,0,0,2380,0,0,38411,2,3,0,0,2,a,3.0
0,0.0,1,0,Arsenal,0,0,0.0,0,Hayden,0,0,Defender,0,Isaac,190,0,561,0,132,0.1,0.1,0,0.0,0.0,0,Hayden,45,0,0,0.0,1,"[['Minutes played', 0, 0]]",0,8,0,0,44,0,0,153127,2,3,0,0,0,a,0.0
0,0.0,1,0,Arsenal,0,0,0.0,0,Bellerín,0,0,Defender,1,Héctor,179,0,705,-1,139,0.1,0.1,0,0.0,0.0,0,Bellerín,44,0,0,0.0,1,"[['Minutes played', 0, 0]]",0,9,0,0,41,0,0,98745,2,3,0,0,0,a,0.0
0,0.2,1,0,Arsenal,0,0,1.0,3,Wilshere,0,22,Midfielder,0,Jack,23594,141,54374,0,14231,4.2,4.2,17,1.0,0.5,0,Wilshere,65,0,0,1.0,1,"[['Minutes played', 0, 0]]",3,10,0,0,1683,1,0,54102,3,3,0,0,0,a,1.5
